Tanggal,suhu,kelembapan,curah hujan,kecepatan angin harian
2019-11-17,26.9,89,0,2
2019-11-18,27.1,88,0,2
2019-11-19,26.8,88,0,2
2019-11-20,26.5,92,0,2
2019-11-21,27.3,87,0,2
2019-11-22,27.2,87,0.1,2
2019-11-23,27,89,1.6,2
2019-11-24,26.4,88,0.6,2
2019-11-25,26.4,92,1,2
2019-11-26,27,88,0.2,3
2019-11-27,27.6,86,0,2
2019-11-28,26.9,90,0,2
2019-11-29,26.4,89,5.5,2
2019-11-30,26.9,92,0,2
2019-12-01,27.5,89,0,2
2019-12-02,27.6,89,0,3
2019-12-03,25.9,94,2.8,2
2019-12-04,25.5,94,0.6,2
2019-12-05,25.8,92,4.2,2
2019-12-06,26.5,91,0,4
2019-12-07,24.7,95,37.5,2
2019-12-08,25.7,93,1.3,2
2019-12-09,26.5,89,0,2
2019-12-10,25.2,94,0,2
2019-12-11,26.1,89,8888,2
2019-12-12,26.3,88,0,2
2019-12-13,26.8,91,0,2
2019-12-14,25.3,92,0,2
2019-12-15,26.3,91,67.2,4
2019-12-16,26,89,84.6,2
2019-12-17,26.7,94,0,2
2019-12-18,26.5,91,38.4,2
2019-12-19,26.8,88,0,2
2019-12-20,27,88,0,2
2019-12-21,27.6,87,8,2
2019-12-22,27.1,86,8888,3
2019-12-23,26.9,87,0,3
2019-12-24,27.8,86,0,2
2019-12-25,27.3,87,0,2
2019-12-26,26.4,90,0,3
2019-12-27,27.4,83,0,2
2019-12-28,27,86,0,3
2019-12-29,26.5,88,4.3,2
2019-12-30,27.5,87,0,2
2019-12-31,27.5,86,0,3
2020-01-01,27.2,88,0,3
2020-01-02,26.8,86,0,2
2020-01-03,26.9,89,0,3
2020-01-04,26.2,91,0,2
2020-01-05,26.7,86,15,3
2020-01-06,26.9,87,0,3
2020-01-07,27.1,84,0,4
2020-01-08,27,87,0,3
2020-01-09,27.6,87,0,3
2020-01-10,27.2,84,0,3
2020-01-11,27.4,86,0,3
2020-01-12,26.9,89,0,3
2020-01-13,26.5,83,0,2
2020-01-14,27.1,87,0,3
2020-01-15,26.7,85,0,3
2020-01-16,27.5,86,0,3
2020-01-17,27.5,89,0,2
2020-01-18,27.2,86,0,3
2020-01-19,27.3,87,0,2
2020-01-20,27.6,86,0,3
2020-01-21,0,0,0,0
2020-01-22,27.3,83,2.2,2
2020-01-23,27.2,84,0,2
2020-01-24,27.4,86,0,3
2020-01-25,27.5,83,0,3
2020-01-26,27.6,83,0,3
2020-01-27,27.6,84,0,3
2020-01-28,28.1,80,0,4
2020-01-29,25.5,90,35,2
2020-01-30,26.3,86,0,3
2020-01-31,26.6,87,0,2
2020-02-01,27.3,87,0,2
2020-02-02,26.9,88,8888,3
2020-02-03,27.4,89,0,2
2020-02-04,26.8,86,0,3
2020-02-05,26.7,84,1.5,3
2020-02-06,27.4,90,0,3
2020-02-07,26.6,86,0,3
2020-02-08,26.5,82,0,2
2020-02-09,26.3,86,0,3
2020-02-10,27.1,84,0,3
2020-02-11,27.4,88,0.2,2
2020-02-12,27.2,87,3.8,2
2020-02-13,27.6,88,3.9,2
2020-02-14,27.3,91,0,3
2020-02-15,26.2,90,3.9,2
2020-02-16,26.6,86,16.7,3
2020-02-17,27.7,88,0,3
2020-02-18,26.2,89,0,2
2020-02-19,26,90,15.7,2
2020-02-20,27.3,84,0,2
2020-02-21,27.3,86,0,2
2020-02-22,26.5,86,0,2
2020-02-23,26.4,83,8888,3
2020-02-24,26.9,87,0,2
2020-02-25,27.8,86,0,2
2020-02-26,28.3,81,0,2
2020-02-27,28.4,83,0,3
2020-02-28,27.5,86,0,2
